12	11	E	-1.0529367161027988E7	97
probinit	1	0.0
probinit	2	0.0
emissionprobs	5	6	H3K4me3	1	0.0025919515407850967
emissionprobs	5	7	H3K79me2	0	0.9930335365688758
emissionprobs	5	7	H3K79me2	1	0.006966463431124117
emissionprobs	5	8	H3K9ac	0	0.9664974535751587
emissionprobs	5	8	H3K9ac	1	0.033502546424841295
emissionprobs	5	9	H3K9me3	0	0.986772230006256
emissionprobs	5	9	H3K9me3	1	0.01322776999374396
emissionprobs	5	10	H4K20me1	0	0.9958845838112571
emissionprobs	5	10	H4K20me1	1	0.004115416188742844
emissionprobs	6	0	H2AZ	0	0.9988190655123327
emissionprobs	6	0	H2AZ	1	0.0011809344876672495
emissionprobs	6	1	H3K27ac	0	0.9008951383406525
emissionprobs	6	1	H3K27ac	1	0.09910486165934752
emissionprobs	6	2	H3K27me3	0	0.9998800401635645
emissionprobs	6	2	H3K27me3	1	1.1995983643547773E-4
emissionprobs	6	3	H3K36me3	0	0.7203166076539855
emissionprobs	6	3	H3K36me3	1	0.27968339234601436
emissionprobs	6	4	H3K4me1	0	0.15689271203174004
emissionprobs	6	4	H3K4me1	1	0.84310728796826
emissionprobs	6	5	H3K4me2	0	0.7112828666774239
emissionprobs	6	5	H3K4me2	1	0.288717133322576
emissionprobs	6	6	H3K4me3	0	0.9657369998062781
emissionprobs	6	6	H3K4me3	1	0.03426300019372185
emissionprobs	6	7	H3K79me2	0	0.1796208939327523
emissionprobs	6	7	H3K79me2	1	0.8203791060672477
emissionprobs	6	8	H3K9ac	0	0.8900824222909929
emissionprobs	6	8	H3K9ac	1	0.10991757770900706
emissionprobs	6	9	H3K9me3	0	0.9888935486005196
emissionprobs	6	9	H3K9me3	1	0.0111064513994803
emissionprobs	6	10	H4K20me1	0	0.7972868763772507
emissionprobs	6	10	H4K20me1	1	0.20271312362274926
emissionprobs	7	0	H2AZ	0	0.9999693012280159
emissionprobs	7	0	H2AZ	1	3.069877198413896E-5
emissionprobs	7	1	H3K27ac	0	0.9989638028957302
emissionprobs	7	1	H3K27ac	1	0.0010361971042698113
emissionprobs	7	2	H3K27me3	0	0.999926196372374
emissionprobs	7	2	H3K27me3	1	7.380362762606077E-5
emissionprobs	7	3	H3K36me3	0	0.7846960023518801
emissionprobs	7	3	H3K36me3	1	0.21530399764811992
emissionprobs	7	4	H3K4me1	0	0.9359960083290892
emissionprobs	7	4	H3K4me1	1	0.06400399167091068
emissionprobs	7	5	H3K4me2	0	0.999022448518542
emissionprobs	7	5	H3K4me2	1	9.775514814578425E-4
emissionprobs	7	6	H3K4me3	0	0.9999406838056561
emissionprobs	7	6	H3K4me3	1	5.931619434385471E-5
emissionprobs	7	7	H3K79me2	0	0.3123652745162099
emissionprobs	7	7	H3K79me2	1	0.6876347254837901
emissionprobs	7	8	H3K9ac	0	0.9994343904648428
emissionprobs	7	8	H3K9ac	1	5.656095351571598E-4
emissionprobs	7	9	H3K9me3	0	0.9909573470373381
emissionprobs	7	9	H3K9me3	1	0.00904265296266196
emissionprobs	7	10	H4K20me1	0	0.8828010697838196
emissionprobs	7	10	H4K20me1	1	0.11719893021618034
emissionprobs	8	0	H2AZ	0	0.9999763917712421
emissionprobs	8	0	H2AZ	1	2.3608228758029024E-5
emissionprobs	8	1	H3K27ac	0	0.999226673810451
emissionprobs	8	1	H3K27ac	1	7.733261895489905E-4
emissionprobs	8	2	H3K27me3	0	0.9999568889075868
emissionprobs	8	2	H3K27me3	1	4.3111092413159855E-5
emissionprobs	8	3	H3K36me3	0	0.7977225990056953
emissionprobs	8	3	H3K36me3	1	0.20227740099430472
emissionprobs	8	4	H3K4me1	0	0.9832602428657192
emissionprobs	8	4	H3K4me1	1	0.01673975713428071
emissionprobs	8	5	H3K4me2	0	0.9998864533295975
emissionprobs	8	5	H3K4me2	1	1.1354667040245294E-4
emissionprobs	8	6	H3K4me3	0	0.9999821095124023
emissionprobs	8	6	H3K4me3	1	1.7890487597635685E-5
emissionprobs	8	7	H3K79me2	0	0.9633783921241746
emissionprobs	8	7	H3K79me2	1	0.03662160787582532
emissionprobs	8	8	H3K9ac	0	0.9996319604623054
emissionprobs	8	8	H3K9ac	1	3.680395376946645E-4
emissionprobs	8	9	H3K9me3	0	0.9977476909142309
emissionprobs	8	9	H3K9me3	1	0.0022523090857690955
emissionprobs	8	10	H4K20me1	0	0.9791342242747987
emissionprobs	8	10	H4K20me1	1	0.020865775725201246
emissionprobs	9	0	H2AZ	0	0.9756073811934884
emissionprobs	9	0	H2AZ	1	0.024392618806511553
emissionprobs	9	1	H3K27ac	0	0.9973879659789531
emissionprobs	9	1	H3K27ac	1	0.002612034021046865
emissionprobs	9	2	H3K27me3	0	0.998946702246882
emissionprobs	9	2	H3K27me3	1	0.0010532977531179763
